jogo, Plataforma, audiencia_pico, data, competicao
Corinthians x São Paulo,CazeTV (YouTube),4100000,2024-01-30,Paulistão 2024
Palmeiras x Santos (Final),Paulistão Play,1500000,2024-04-07,Paulistão 2024
Novorizontino x Palmeiras,CazeTV (YouTube),1200000,2024-01-21,Paulistão 2024
Flamengo x Vasco,CazeTV (YouTube),3500000,2024-02-04,Cariocão 2024
NBA Finals (Game 5),CazeTV (YouTube),800000,2024-06-17,NBA 2024
Brasil x Costa Rica,CazeTV (YouTube),2800000,2024-06-24,Copa América 2024
Santos x Botafogo-SP,CazeTV (YouTube),700000,2024-01-20,Paulistão 2024
Palmeiras x Novorizontino,YouTube (CazéTV),2850000,2026-03-08,Final Paulistão 2026
Corinthians x São Paulo,Record / YouTube,2100000,2026-02-15,Paulistão 2026
Brasil x Argentina,Prime Video,3400000,2026-01-25,Pré-Olímpico Masculino
Flamengo x Fluminense,Band / YouTube,1950000,2026-03-14,Cariocão 2026
CazéTV x Mundo (All-Stars),YouTube (CazéTV),1100000,2026-04-10,Amistoso Beneficente
